Page dimensions: width=453.5, height=623.6

Total words on page: 326

TEXT                                                    x0      x1     top  bottom
-------------------------------------------------------------------------------------
SUMMARY                                               54.2    90.5    34.8    41.8
TABLE                                                 44.3    65.0    74.9    83.9
2                                                     66.9    71.1    74.9    83.9
INDICATORS                                            77.0   121.6    74.6    84.6
OF                                                   123.7   133.4    74.6    84.6
UNAFFORDABILITY                                      135.5   204.9    74.6    84.6
OF                                                   207.0   216.7    74.6    84.6
HEALTHY                                              218.8   252.5    74.6    84.6
DIETS                                                254.5   275.8    74.6    84.6
Number                                               298.9   327.7    93.3   101.3
of                                                   329.7   336.7    93.3   101.3
people                                               338.7   362.7    93.3   101.3
at                                                   364.7   371.7    93.3   101.3
risk                                                 373.7   386.6    93.3   101.3
of                                                   388.6   395.6    93.3   101.3
Number                                               187.8   216.5    97.8   105.8
of                                                   218.5   225.5    97.8   105.8
people                                               227.5   251.6    97.8   105.8
unaffordability                                      299.3   351.7   102.3   110.3
of                                                   353.7   360.7   102.3   110.3
a                                                    362.7   366.9   102.3   110.3
healthy                                              368.9   395.2   102.3   110.3
unable                                               174.1   198.2   106.8   114.8
to                                                   200.2   207.3   106.8   114.8
afford                                               209.3   230.8   106.8   114.8
a                                                    232.8   236.9   106.8   114.8
healthy                                              238.9   265.3   106.8   114.8
diet                                                 299.0   312.7   111.3   119.3
if                                                   314.7   319.4   111.3   119.3
incomes                                              321.4   351.1   111.3   119.3
are                                                  353.1   364.4   111.3   119.3
reduced                                              366.4   395.5   111.3   119.3
diet                                                 198.3   212.0   115.8   123.8
in                                                   214.0   220.5   115.8   123.8
2019                                                 222.5   241.1   115.8   123.8
by                                                   325.6   334.1   120.3   128.3
one-third                                            336.1   368.8   120.3   128.3
Percent                                              165.2   189.1   135.3   142.3
Total                                                205.6   220.4   135.3   142.3
number                                               222.1   246.0   135.3   142.3
(millions)                                           247.7   276.2   135.3   142.3
Percent                                              292.8   316.7   135.3   142.3
Total                                                333.2   347.9   135.3   142.3
number                                               349.7   373.6   135.3   142.3
(millions)                                           375.3   403.8   135.3   142.3
WORLD                                                 51.0    75.4   150.3   157.3
41.9                                                 169.7   184.0   150.3   157.3
3                                                    226.4   230.4   150.3   157.3
000.5                                                232.2   250.5   150.3   157.3
13.4                                                 297.3   311.5   150.3   157.3
956.4                                                359.7   378.0   150.3   157.3
Central                                               51.0    73.3   165.3   172.3
Asia                                                  75.1    88.1   165.3   172.3
16.9                                                 169.7   184.0   165.3   172.3
5.8                                                  240.3   250.5   165.3   172.3
18.1                                                 297.3   311.5   165.3   172.3
6.2                                                  367.9   378.0   165.3   172.3
Eastern                                               51.0    74.4   179.5   186.5
and                                                   76.1    87.7   179.5   186.5
23.9                                                 169.7   184.0   183.5   190.5
530.0                                                232.2   250.5   183.5   190.5
18.0                                                 297.3   311.5   183.5   190.5
398.0                                                359.7   378.0   183.5   190.5
South-eastern                                         51.0    94.6   187.5   194.5
Asia                                                  96.3   109.4   187.5   194.5
Europe                                                51.0    72.9   201.7   208.7
1.7                                                  173.8   184.0   201.7   208.7
12.0                                                 236.3   250.5   201.7   208.7
3.1                                                  301.4   311.5   201.7   208.7
22.0                                                 363.8   378.0   201.7   208.7
Latin                                                 51.0    66.4   215.9   222.9
America                                               68.1    93.7   215.9   222.9
19.3                                                 169.7   184.0   219.9   226.9
113.0                                                232.2   250.5   219.9   226.9
14.5                                                 297.3   311.5   219.9   226.9
85.0                                                 363.8   378.0   219.9   226.9
and                                                   51.0    62.6   223.9   230.9
the                                                   64.3    74.3   223.9   230.9
Caribbean                                             76.0   107.7   223.9   230.9
Northern                                              51.0    78.8   237.3   244.3
Africa                                                80.6    98.6   237.3   244.3
45.0                                                 169.7   184.0   241.3   248.3
178.0                                                232.2   250.5   241.3   248.3
15.1                                                 297.3   311.5   241.3   248.3
60.0                                                 363.8   378.0   241.3   248.3
and                                                   51.0    62.6   245.3   252.3
Western                                               64.3    89.3   245.3   252.3
Asia                                                  91.0   104.1   245.3   252.3
Northern                                              51.0    78.8   259.2   266.2
America                                               80.6   106.1   259.2   266.2
1.4                                                  173.8   184.0   259.2   266.2
5.1                                                  240.3   250.5   259.2   266.2
0.5                                                  301.4   311.5   259.2   266.2
1.7                                                  367.9   378.0   259.2   266.2
Oceania                                               51.0    76.2   273.6   280.6
1.8                                                  173.8   184.0   273.6   280.6
0.5                                                  240.3   250.5   273.6   280.6
0.9                                                  301.4   311.5   273.6   280.6
0.2                                                  367.9   378.0   273.6   280.6
Southern                                              51.0    79.2   288.0   295.0
Asia                                                  80.9    94.0   288.0   295.0
71.3                                                 169.7   184.0   288.0   295.0
1                                                    226.4   230.4   288.0   295.0
282.0                                                232.2   250.5   288.0   295.0
16.8                                                 297.3   311.5   288.0   295.0
303.0                                                359.7   378.0   288.0   295.0
Sub-Saharan                                           51.0    91.0   302.7   309.7
Africa                                                92.7   110.8   302.7   309.7
84.7                                                 169.7   184.0   302.7   309.7
875.0                                                232.2   250.5   302.7   309.7
7.8                                                  301.4   311.5   302.7   309.7
81.0                                                 363.8   378.0   302.7   309.7
COUNTRY                                               51.0    83.6   317.7   324.7
INCOME                                                85.4   112.3   317.7   324.7
GROUPS                                               114.1   142.3   317.7   324.7
Low-income                                            51.0    88.3   332.7   339.7
87.6                                                 169.7   184.0   332.7   339.7
463.0                                                232.2   250.5   332.7   339.7
6.9                                                  301.4   311.5   332.7   339.7
37.0                                                 363.8   378.0   332.7   339.7
Lower-middle-income                                   51.0   117.8   347.7   354.7
69.6                                                 169.7   184.0   347.7   354.7
1                                                    226.4   230.4   347.7   354.7
953.0                                                232.2   250.5   347.7   354.7
15.9                                                 297.3   311.5   347.7   354.7
447.0                                                359.7   378.0   347.7   354.7
Upper-middle-income                                   51.0   118.6   362.7   369.7
21.1                                                 169.7   184.0   362.7   369.7
568.0                                                232.2   250.5   362.7   369.7
17.1                                                 297.3   311.5   362.7   369.7
460.0                                                359.7   378.0   362.7   369.7
High-income                                           51.0    90.5   376.9   383.9
1.4                                                  173.8   184.0   376.9   383.9
16.0                                                 236.3   250.5   376.9   383.9
1.1                                                  301.4   311.5   376.9   383.9
12.0                                                 363.8   378.0   376.9   383.9
NOTES:                                                51.0    70.4   392.0   399.0
The                                                   71.9    81.4   392.0   399.0
table                                                 82.8    95.9   392.0   399.0
shows                                                 97.4   113.4   392.0   399.0
the                                                  114.9   123.2   392.0   399.0
number                                               124.7   144.4   392.0   399.0
and                                                  145.9   155.4   392.0   399.0
share                                                156.8   171.1   392.0   399.0
of                                                   172.5   177.5   392.0   399.0
people                                               179.0   196.5   392.0   399.0
who                                                  197.9   208.4   392.0   399.0
cannot                                               209.9   227.7   392.0   399.0
afford                                               229.2   245.1   392.0   399.0
a                                                    246.5   249.4   392.0   399.0
healthy                                              250.9   270.0   392.0   399.0
diet,                                                271.5   283.2   392.0   399.0
or                                                   284.7   289.9   392.0   399.0
who                                                  291.3   301.8   392.0   399.0
are                                                  303.3   311.5   392.0   399.0
at                                                   312.9   318.0   392.0   399.0
risk                                                 319.4   328.9   392.0   399.0
of                                                   330.3   335.3   392.0   399.0
not                                                  336.7   345.1   392.0   399.0
being                                                346.6   360.8   392.0   399.0
able                                                 362.2   373.1   392.0   399.0
to                                                   374.6   379.7   392.0   399.0
afford                                               381.1   397.0   392.0   399.0
one                                                  398.5   407.8   392.0   399.0
if                                                    51.0    54.4   400.5   407.5
a                                                     55.9    58.8   400.5   407.5
shock                                                 60.2    75.4   400.5   407.5
reduces                                               76.9    97.7   400.5   407.5
their                                                 99.1   111.1   400.5   407.5
income                                               112.6   131.4   400.5   407.5
by                                                   132.9   138.8   400.5   407.5
one-third,                                           140.3   166.1   400.5   407.5
by                                                   167.6   173.5   400.5   407.5
region                                               175.0   191.2   400.5   407.5
and                                                  192.7   202.2   400.5   407.5
income                                               203.6   222.5   400.5   407.5
group                                                223.9   238.8   400.5   407.5
in                                                   240.3   244.9   400.5   407.5
2019.                                                246.3   261.4   400.5   407.5
The                                                  262.8   272.3   400.5   407.5
2019                                                 273.8   287.1   400.5   407.5
cost                                                 288.6   299.7   400.5   407.5
of                                                   301.1   306.1   400.5   407.5
a                                                    307.5   310.5   400.5   407.5
healthy                                              311.9   331.1   400.5   407.5
diet                                                 332.5   342.5   400.5   407.5
is                                                   343.9   348.0   400.5   407.5
taken                                                349.5   364.0   400.5   407.5
from                                                 365.4   377.5   400.5   407.5
FAO                                                  379.0   389.2   400.5   407.5
et                                                   390.6   395.5   400.5   407.5
al.                                                  396.9   403.0   400.5   407.5
(2021).                                               51.0    70.2   409.0   416.0
See                                                   71.6    81.1   409.0   416.0
Annex                                                 82.6    99.0   409.0   416.0
1                                                    100.5   103.8   409.0   416.0
of                                                   105.2   110.2   409.0   416.0
the                                                  111.6   120.0   409.0   416.0
report                                               121.4   137.6   409.0   416.0
for                                                  139.1   146.3   409.0   416.0
methodology                                          147.7   181.5   409.0   416.0
and                                                  183.0   192.5   409.0   416.0
data                                                 193.9   205.5   409.0   416.0
sources                                              206.9   227.2   409.0   416.0
and                                                  228.7   238.2   409.0   416.0
Annex                                                239.6   256.0   409.0   416.0
3                                                    257.4   260.8   409.0   416.0
of                                                   262.2   267.2   409.0   416.0
the                                                  268.6   277.0   409.0   416.0
report                                               278.4   294.6   409.0   416.0
for                                                  296.0   303.2   409.0   416.0
the                                                  304.7   313.0   409.0   416.0
results                                              314.5   332.3   409.0   416.0
